sample_id,pt_id,group,gene,value,lin_value
Sample1,0B,A,ARRDC3,10.3283333333333,0.000777789115822438
Sample1,0B,A,H1.0,10.4383333333333,0.000720690109389338
Sample1,0B,A,H1.2,6.81166666666666,0.00890192667875031
Sample1,0B,A,TM4SF1,8.285,0.00320602190941602
Sample1,0B,A,TXNIP,4.58833333333333,0.0415694268471163
Sample10,500B,D,ARRDC3,7.2575,0.00653543961764986
Sample10,500B,D,H1.0,5.5975,0.0206530691565279
Sample10,500B,D,H1.2,2.92083333333333,0.132050957412649
Sample10,500B,D,TM4SF1,2.62083333333333,0.16257379849543
Sample10,500B,D,TXNIP,4.41083333333333,0.0470117979330659
Sample11,500E,D,ARRDC3,6.64583333333333,0.00998630487156587
Sample11,500E,D,H1.0,6.89583333333333,0.00839744796813045
Sample11,500E,D,H1.2,3.22916666666667,0.106640941907668
Sample11,500E,D,TM4SF1,4.67916666666667,0.0390328694122962
Sample11,500E,D,TXNIP,3.6025,0.0823264598617938
Sample12,500H,D,ARRDC3,9.835,0.00109488874807472
Sample12,500H,D,H1.0,8.24,0.00330759887641613
Sample12,500H,D,H1.2,4.05333333333333,0.0602316948994719
Sample12,500H,D,TM4SF1,3.19666666666667,0.109070535955103
Sample12,500H,D,TXNIP,6.23666666666667,0.013260999551705
Sample2,0E,A,ARRDC3,10.4408333333333,0.00071944233002656
Sample2,0E,A,H1.2,6.47083333333333,0.0112741827355399
Sample2,0E,A,TM4SF1,6.0075,0.0155439825859597
Sample2,0E,A,H1.0,10.3441666666667,0.000769299682477043
Sample2,0E,A,TXNIP,6.6725,0.00980341423859795
Sample3,0H,A,ARRDC3,10.1416666666667,0.000885225931082138
Sample3,0H,A,H1.2,4.79166666666667,0.0361047717772585
Sample3,0H,A,TM4SF1,6.185,0.013744516811288
Sample3,0H,A,H1.0,9.54833333333334,0.00133556570336525
Sample3,0H,A,TXNIP,5.31333333333334,0.0251493803886221
Sample4,10B,B,H1.2,5.67416666666666,0.01958419085925
Sample4,10B,B,H1.0,8.63416666666667,0.00251684717578329
Sample4,10B,B,ARRDC3,9.35083333333333,0.00153150592815008
Sample4,10B,B,TXNIP,5.77916666666667,0.0182094774580102
Sample4,10B,B,TM4SF1,7.0475,0.00755946578236207
Sample5,10E,B,TM4SF1,6.07166666666667,0.014867782858123
Sample5,10E,B,TXNIP,7.43166666666666,0.00579222489056649
Sample5,10E,B,ARRDC3,10.4183333333333,0.000730750568406233
Sample5,10E,B,H1.0,9.31166666666666,0.00157365318004245
Sample5,10E,B,H1.2,5.33833333333333,0.0247173290865879
Sample6,10H,B,ARRDC3,10.4233333333333,0.000728222363501161
Sample6,10H,B,H1.2,4.275,0.0516531448846383
Sample6,10H,B,TM4SF1,3.39833333333333,0.0948417876732738
Sample6,10H,B,H1.0,9.66166666666667,0.00123466326066596
Sample6,10H,B,TXNIP,7.005,0.00778547080334272
Sample7,100B,C,ARRDC3,12.0583333333333,0.000234466051037843
Sample7,100B,C,H1.2,4.925,0.0329175323735886
Sample7,100B,C,TM4SF1,4.79166666666666,0.0361047717772586
Sample7,100B,C,H1.0,7.54833333333333,0.00534226281346101
Sample7,100B,C,TXNIP,6.93166666666667,0.00819144299655412
Sample8,100E,C,H1.2,4.60833333333333,0.0409971282636702
Sample8,100E,C,H1.0,8.805,0.00223578937616931
Sample8,100E,C,ARRDC3,11.175,0.000432503671436699
Sample8,100E,C,TXNIP,6.855,0.0086385207290646
Sample8,100E,C,TM4SF1,5.21833333333333,0.0268611832269244
Sample9,100H,C,TM4SF1,2.90666666666667,0.13335403036817
Sample9,100H,C,TXNIP,5.72,0.0189717950686726
Sample9,100H,C,ARRDC3,9.60333333333334,0.00128560812445667
Sample9,100H,C,H1.0,8.88666666666667,0.0021127434884377
Sample9,100H,C,H1.2,4.16,0.0559390669329983
