treatment,Lot,values
A,1,22040
A,1,26630
A,1,113900
A,1,47090
A,1,33200
A,2,28870
A,2,31990
A,2,30250
A,3,30920
A,3,43140
A,3,45560
A,3,106400
A,3,72500
B,1,36800
B,1,43450
B,1,36480
B,1,56560
B,1,31120
B,2,26730
B,2,33700
B,2,27850
B,2,33580
B,3,56130
B,3,72970
B,3,56320
B,3,48290
B,3,40850
C,1,16830
C,1,44450
C,1,25220
C,1,20790
C,1,15940
C,2,63710
C,2,39260
C,2,34780
C,2,29790
C,3,40410
C,3,59770
C,3,67220
C,3,56740
C,3,52630
D,1,5511
D,1,9194
D,1,12570
D,1,23420
D,1,17850
D,2,36370
D,2,32840
D,2,32670
D,2,25150
D,3,60410
D,3,64790
D,3,55210
D,3,54790
D,3,52160
