Well	Plate	Sample	Detector	Cq
A1	Plate1	Sample1	B2M	17.23
A2	Plate1	Sample2	B2M	17.24
A3	Plate1	Sample3	B2M	17.81
A4	Plate1	Sample4	B2M	17.82
A5	Plate1	Sample5	B2M	17.66
A6	Plate1	Sample6	B2M	17.12
A7	Plate1	Sample7	B2M	16.34
A8	Plate1	Sample8	B2M	16.78
A9	Plate1	Sample9	B2M	18.33
A10	Plate1	Sample10	B2M	18.96
A11	Plate1	Sample11	B2M	21.47
A12	Plate1	Sample12	B2M	17.21
A13	Plate1	Sample1	ARRDC3	30.55
A14	Plate1	Sample2	ARRDC3	32
A15	Plate1	Sample3	ARRDC3	28.48
A16	Plate1	Sample4	ARRDC3	26.94
A17	Plate1	Sample5	ARRDC3	33.25
A18	Plate1	Sample6	ARRDC3	29.63
A19	Plate1	Sample7	ARRDC3	27.7
A20	Plate1	Sample8	ARRDC3	29.38
A21	Plate1	Sample9	ARRDC3	29.28
A22	Plate1	Sample10	ARRDC3	26.15
A23	Plate1	Sample11	ARRDC3	25.13
A24	Plate1	Sample12	ARRDC3	29.25
B1	Plate1	Sample1	B2M	16.87
B2	Plate1	Sample2	B2M	17.09
B3	Plate1	Sample3	B2M	17.02
B4	Plate1	Sample4	B2M	16.34
B5	Plate1	Sample5	B2M	17.86
B6	Plate1	Sample6	B2M	17.14
B7	Plate1	Sample7	B2M	16.31
B8	Plate1	Sample8	B2M	16.28
B9	Plate1	Sample9	B2M	19.54
B10	Plate1	Sample10	B2M	17.41
B11	Plate1	Sample11	B2M	18.09
B12	Plate1	Sample12	B2M	17.64
B13	Plate1	Sample1	ARRDC3	28.02
B14	Plate1	Sample2	ARRDC3	26.87
B15	Plate1	Sample3	ARRDC3	28.64
B16	Plate1	Sample4	ARRDC3	27.29
B17	Plate1	Sample5	ARRDC3	27.74
B18	Plate1	Sample6	ARRDC3	NA
B19	Plate1	Sample7	ARRDC3	31.43
B20	Plate1	Sample8	ARRDC3	28.53
B21	Plate1	Sample9	ARRDC3	28.84
B22	Plate1	Sample10	ARRDC3	26.18
B23	Plate1	Sample11	ARRDC3	25.29
B24	Plate1	Sample12	ARRDC3	NA
C1	Plate1	Sample1	B2M	16.89
C2	Plate1	Sample2	B2M	15.54
C3	Plate1	Sample3	B2M	16.06
C4	Plate1	Sample4	B2M	15.74
C5	Plate1	Sample5	B2M	17.28
C6	Plate1	Sample6	B2M	16.22
C7	Plate1	Sample7	B2M	15.9
C8	Plate1	Sample8	B2M	17.16
C9	Plate1	Sample9	B2M	17.14
C10	Plate1	Sample10	B2M	16.15
C11	Plate1	Sample11	B2M	16.29
